id,sta,lat,lon,elev,staname,statype
54,KMBO,-1.1268,37.2523,1.94,"KILIMAMBOGO, KENYA",ss,
55,KSRS,37.4421,127.8844,0.109,"WONJU ARRAY ELEMENT KS31",ar,
56,KURK,50.62264,78.53039,0.2004,"Kurchatov Array, Kazakhstan",ar,
57,LBTB,-25.0151,25.5966,1.148,"LOBATSE, BOTSWANA",ss,
58,LPAZ,-16.287927,-68.130706,4.791909,"LA PAZ, Bolivia",ss,
59,LPIG,24.10103,-110.30931,0.056,"LA PAZ, BAJA CALIFORNIA SUR, MEXICO",ss,
60,LSZ,-15.2766,28.1882,1.184,"Lusaka",ss,
61,LVC,-22.6128,-68.9113,2.195,"LIMON VERDE",ss,
62,MAW,-67.6046,62.8713,0.012,"MAWSON, Australia",ss,
63,MBAR,-0.6019,30.7382,1.39,"MBARARA, UGANDA",ss,
64,MDT,32.814,-4.607,1.168,"MIDELT, MOROCCO",ss,
65,MJAR,36.524717,138.24718,0.661733,"JIZO (JZO) ELEMENT MJA0, Japan",ar,
66,MKAR,46.7937,82.2904,0.6154,"MAKANCHI ARRAY, Kazakhstan",ar,
67,MLR,45.4917,25.9437,1.36,"Muntele Rosu",ss,
68,MMAI,33.01518,35.40311,0.80964,"MOUNT MERON ARRAY, Israel",ar,
69,NEW,48.26333,-117.12,0.76,"Newport, WA",ss,
70,NNA,-11.9873,-76.8422,0.575,"NANA, PERU",ss,
71,NOA,61.0397,11.2148,0.717,"NORSAR Array, Norway",ar,
72,NVAR,38.429609,-118.30355,2.0416,"MINA ARRAY ELEMENT NVAR",ar,
73,NWAO,-32.9277,117.239,0.3536,"NARROGIN",ss,
74,OPO,-18.5706,47.1879,1.46,"AMBOHIDRATOMPO",ss,
75,PALK,7.2728,80.7022,0.46,"PALLEKELE, SRI LANKA",ss,
76,PDAR,42.7667,-109.5579,2.2144,"Pinedale Array, Wyoming",ar,
77,PETK,53.108215,157.69885,0.4,"PETROPAVLOVSK-KAMCHATSKIY ARRAY ELEMENT PEA0",ar,
78,PFO,33.6092,-116.4553,1.28,"PINON FLAT, CALIFORNIA",ss,
79,PLCA,-40.732733,-70.550835,1.0734,"PASO FLORES, Argentina",ss,
80,PMG,-9.4092,147.1539,0.067,"PORT MORESBY",ss,
81,PMSA,-64.7742,-64.049,0.01,"PALMER STATION, ANTARTICA",ss,
82,PPT,-17.5896,-149.5764,0.705,"TAHITI-Pamatai PS18, FRENCH POLYNESIA",ss,
83,PSI,2.6952,98.924,1.069,"PARAPAT, SUMATERA, INDONESIA",ss,
84,QSPA,-89.9279,145,2.86,"SOUTH POLE,ANTARCTIC",ss,
85,RAO,-29.2517,-177.9183,0.11,"RAOUL ISLAND, NEW ZEALAND",ss,
86,RAR,-21.2125,-159.7733,0.028,"RAROTONGA, Cook Islands",ss,
87,RCBR,-5.82739,-35.90131,0.067,"RIACHUELO",ss,
88,RES,74.689233,-94.896167,0.019,"RESOLUTE, NUNAVUT, CANADA",ss,
89,ROSC,4.844856,-74.321203,2.987,"EL ROSAL, COLOMBIA",ss,
90,RPN,-27.1267,-109.3344,0.11,"EASTER ISLAND, CHILE",ss,
91,RPZ,-43.7146,171.054,0.418,"RATA PEAKS",ss,
92,SADO,44.7694,-79.1417,0.243,"Sadowa, Canada",ss,
93,SCHQ,54.832402,-66.833177,0.4975,"SCHEFFERVILLE, QUEBEC, Canada",ss,
94,SFJD,66.995999,-50.6215,0.328,"SONDRE STROMFJORD, GREENLAND, DENMARK",ss,
95,SIV,-15.991,-61.072,0.45,"SAN IGNACIO, BOLIVIA",ss,
96,SJG,18.1117,-66.15,0.457,"SAN JUAN",ss,
97,SNAA,-71.6707,-2.8379,0.846,"SANAE STATION, ANTARCTICA",ss,
98,SONM,47.83469,106.39499,1.4158,"SONGINO, Mongolia",ar,
99,SPITS,78.1777,16.37,0.323,"Spitsbergen Array, Norway",ar,
100,STKA,-31.8743,141.5964,0.255,"STEPHENS CREEK, Australia",ss,
101,SUR,-32.3797,20.8117,1.77,"Sutherland, South Africa",ss,
102,TEIG,20.2264,-88.2776,0.069,"TEPICH, YUCATAN",ss,
103,TGY,14.1008,120.93837,0.666,"TAGAYTAY",ss,
104,TKL,35.658,-83.774,0.351,"TUCKALEECHEE CAVERNS, TN",ss,
105,TORD,13.14771,1.6947087,0.2143,"TORODI ARRAY ELEMENT TOA0",ar,
106,TSUM,-19.2022,17.5838,1.24,"Tsumeb",ss,
107,TXAR,29.333965,-103.66769,1.0183,"Lajitas Array element TX01",ar,
108,ULM,50.250261,-95.874956,0.2509,"LAC DU BONNET, MANITOBA, Canada",ss,
109,URZ,-38.2592,177.1109,0.087,"UREWERA, New Zealand",ss,
110,USHA,-54.83486,-68.44344,0.106,"USHUAIA",ss,
111,USRK,44.1998,131.9888,0.17,"USSURIYSK ARRAY, Russian Federation.",ar,
112,VNDA,-77.5173,161.8528,0.1259,"VANDA, ANTARCTICA, United States of America",ss,
113,VRAC,49.30828,16.59351,0.475,"Vranov, Czech Republic",ss,
114,WRA,-19.942589,134.33951,0.3888,"Warramunga Array, Australia",ar,
115,YBH,41.73193,-122.71038,1.0596,"YREKA, United States of America",ss,
116,YKA,62.4931,-114.6062,0.1667,"Yellowknife, Canada",ar,
117,ZALV,53.948063,84.818807,0.22941,"ZALESOVO ARRAY ELEMENT ZAA0",ar,
